page,sheet_row,symbol,class,finding,evidence,proposed_action
Global_Markets,2,JHG.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,3,SMAR.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,4,HEES.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,5,RCM.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,6,LANC.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,7,LHCG.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,8,AUO.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,9,APLS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; sanit,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,10,ZK.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,11,CIVI.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,12,VRE.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; sanit,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,13,JBT.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,14,BILL2.ST,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,15,STLA.PA,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,16,NVEI.TO,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,17,MYTIL.AT,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; recommendatio,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,18,ITCI.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,19,TTM.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,20,P10.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,21,TOD.MI,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; fetch_failed:HTTP 404 not_found; empty_row_no_provider_data; low_data_trust; analyst_trend,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,22,6967.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,23,VUK.AX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,24,MRUS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,25,ALFAA.MX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,26,ERJ.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,27,CTRA.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,28,BALN.SW,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,29,CVAC.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,30,OPAP.AT,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; recommendatio,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,31,0011.HK,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,32,BRDG.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,33,ALPH.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,34,DHIL.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,35,SPT.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,36,PTM.AX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,37,GMS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,38,BRFS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,39,CADE.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,40,0489.HK,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,41,SPTN.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,42,SYDB.CO,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,43,CVGW.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,44,CMA.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,45,HELN.SW,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,46,ELEKTRA.MX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,47,DENN.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,48,AL.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,49,PEL.NS,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,50,KLG.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,51,VTLE.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,52,RECSI.OL,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,53,AMED.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,54,THS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,55,CHX.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,56,ARCH.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,57,CFLT.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,58,WNS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,59,SCVL.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,60,CGG.PA,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,61,DEG.AX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,62,SPL.WA,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; empty_row_no_,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,63,TATAMOTORS.NS,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
